Serial Number,List Year,Place,PlaceID,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,PropertyTypeID,Residential Type
200598,2020,Groton,1,62 SOUND BREEZE AVE,328020,635000,0.52,Vacant Land,1,Single Family
200911,2020,Greenwich,2,1525 EAST PUTNAM AVENUE UN409,183820,290000,0.63,Residential,2,Condo
200137,2020,East Windsor,3,15B REGGIE WAY,149630,249900,0.6,Residential,2,Condo
201254,2020,Griswold,4,61 SOUTH MAIN ST UNIT 105,87500,165000,0.53,Commercial,3,Condo
200040,2020,Manchester,5,269 PARKER STREET,113200,220000,0.51,Commercial,3,Single Family
2000225,2020,Bloomfield,6,78 ADAMS ROAD,164430,308000,0.53,Commercial,3,Single Family
201786,2020,Greenwich,2,43 LAFRENTZ ROAD,1069740,3450000,0.31,Vacant Land,1,Single Family
20044,2020,Darien,7,37 OLD PARISH ROAD,1053360,1525000,0.69,Vacant Land,1,Single Family
200477,2020,East Lyme,8,10 STONECLIFFE DR,198100,350000,0.57,Commercial,3,Single Family
200269,2020,East Lyme,8,46 CRESCENT AVE,175630,469000,0.37,Residential,2,Single Family
201076,2020,Bristol,9,351 MATTHEWS ST,318780,540000,0.59,Commercial,3,Single Family
200058,2020,Kent,10,128B SEGAR MOUNTAIN RD,273400,650000,0.42,Commercial,3,Single Family
200293,2020,Branford,11,20 KELLYCREST RD,226000,405000,0.56,Residential,2,Single Family
200031,2020,Bethlehem,12,15 TULIP TREE LANE,207000,335000,0.62,Vacant Land,1,Condo
200331,2020,Killingly,13,3056 DAVID AVE,161910,200000,0.81,Residential,2,Single Family
200061,2020,Bristol,9,161 GRIDLEY ST,75530,90600,0.83,Residential,2,Single Family
200209,2020,East Lyme,8,468R BOSTON POST RD,305550,470000,0.65,Commercial,3,Single Family
200083,2020,East Granby,14,28 BRIGHTON DRIVE,309200,316000,0.98,Residential,2,Single Family
2000125,2020,Bloomfield,6,54 VISTA WAY,239120,60000,3.99,Vacant Land,1,Condo
200520,2020,East Lyme,8,215 UPPER PATTAGANSETT RD,237720,389900,0.61,Residential,2,Single Family
2000476,2020,Cheshire,15,218 WOODPOND RD,265100,492000,0.54,Commercial,3,Single Family
20829,2020,Hartford,16,4 PARK TER,75915,251000,0.3,Commercial,3,Single Family
200327,2020,East Haven,17,1 TALMADGE AVE,121430,230000,0.53,Commercial,3,Single Family
20000209,2020,Brookfield,18,162 LONG MEADOW HILL RD,237840,375000,0.63,Commercial,3,Single Family
200772,2020,Groton,1,30 SUNNYSIDE PARK,112840,265000,0.43,Residential,2,Single Family
200015,2020,East Granby,14,27 METACOMET DRIVE,258800,289900,0.89,Residential,2,Single Family
20148,2020,Burlington,19,102 STAFFORD RD,192710,174000,1.11,Residential,2,Single Family
200507,2020,Avon,20,15 COTTONWOOD DRIVE,96550,184900,0.52,Vacant Land,1,Condo
200539,2020,Guilford,21,35 GRAVES AVE,212490,600000,0.35,Commercial,3,Single Family
20035,2020,Eastford,22,55 COVE RD EAST,242190,350000,0.69,Residential,2,Single Family
200176,2020,Bristol,9,250 WOLCOTT RD,218470,317000,0.69,Commercial,3,Single Family
200707,2020,Farmington,23,75 PINNACLE RD,323480,650000,0.5,Commercial,3,Single Family
200250,2020,Bristol,9,36 WILLIS ST UN 4A,75110,140000,0.54,Residential,2,Condo
2020217,2020,Berlin,24,259 WEST LN,218900,394900,0.55,Vacant Land,1,Single Family
200397,2020,Bristol,9,42 BETHEL ST,81410,196000,0.42,Commercial,3,Two Family
201027,2020,Bristol,9,10 HIGH RIDGE RUN,229110,525000,0.44,Residential,2,Single Family
201192,2020,Manchester,5,27A THOMPSON ROAD,44600,65000,0.69,Commercial,3,Condo
200063,2020,Beacon Falls,25,7 WOODLAND PATH,0,543945,0,Vacant Land,1,Condo
200372,2020,East Haven,17,75 REDWOOD DR #704,89580,165000,0.54,Commercial,3,Condo
2000246,2020,Cheshire,15,227 WIESE RD,272250,480000,0.57,Commercial,3,Single Family
200284,2020,East Lyme,8,61 INDIANOLA RD,183470,470000,0.39,Commercial,3,Single Family
200616,2020,Farmington,23,32 CENTERBROOK DRIVE,365260,702000,0.52,Vacant Land,1,Single Family
2020108,2020,Ansonia,26,145 PULASKI HWY,136100,269000,0.51,Commercial,3,Single Family
200054,2020,East Lyme,8,38 HOPE ST #4,149450,249900,0.6,Vacant Land,1,Condo
200509,2020,Greenwich,2,89 VIEW STREET,283430,300000,0.94,Vacant Land,1,Two Family
200430,2020,Greenwich,2,92 VALLEY ROAD,845320,1250000,0.68,Residential,2,Two Family
20267,2020,Darien,7,8 SOUTH TRAIL,2299640,3622500,0.63,Residential,2,Single Family
200591,2020,Manchester,5,128 CAMPFIELD ROAD,99800,204000,0.49,Residential,2,Single Family
200506,2020,Bristol,9,188 BROOK ST,106680,165000,0.65,Commercial,3,Single Family
200321,2020,Bristol,9,172-174 GREENE ST,84980,114547,0.74,Vacant Land,1,Two Family
20091,2020,Lebanon,27,344 LAKESIDE DR,172700,130000,1.33,Vacant Land,1,Single Family
20067,2020,Bethel,28,24 FOREST WSY,279790,405000,0.69,Commercial,3,Condo
200298,2020,Avon,20,11 MOUNTAIN LEDGE RD,159720,340000,0.47,Commercial,3,Single Family
200235,2020,Groton,1,27 RIVERVIEW AVE (CITY),104510,145000,0.72,Commercial,3,Single Family
200000370,2020,Brookfield,18,9 CHATHAM COURT,83780,150000,0.56,Commercial,3,Condo
200215,2020,Canton,29,91 ANDREW DRIVE,321350,570000,0.56,Commercial,3,Single Family
20265,2020,East Hartford,30,48 CANTERBURY ST,76440,122500,0.62,Commercial,3,Single Family
20191,2020,Darien,7,31 PATRICIA LANE,646450,1180000,0.55,Commercial,3,Single Family
2020274,2020,Ansonia,26,48 ROCKWOOD AVE,161500,372000,0.43,Residential,2,Single Family
200260,2020,Danbury,31,32 COALPIT HILL RD #4,84900,181778,0.47,Residential,2,Condo
200158,2020,Bristol,9,67 BRIDGEPORT AVE,113890,225000,0.51,Commercial,3,Single Family
200086,2020,Greenwich,2,32 HETTIEFRED ROAD,1399790,2450000,0.57,Commercial,3,Single Family
200639,2020,Groton,1,4 TYLER AVE,259770,650000,0.4,Commercial,3,Single Family
200203,2020,East Windsor,3,30 POND ST,116330,200000,0.58,Commercial,3,Single Family
200038,2020,Meriden,32,41 SUNNY LANE,209440,307000,0.68,Commercial,3,Single Family
200144,2020,Killingworth,33,2 WOODLAND TRAIL,0,184995,0,Residential,2,Single Family
201465,2020,Danbury,31,50 COUNTRY VIEW RD,421300,849900,0.5,Residential,2,Condo
200167,2020,Greenwich,2,2 OLD CHURCH ROAD UN3,1471680,2000000,0.74,Residential,2,Condo
200530,2020,Manchester,5,503 BUSH HILL ROAD,163000,235000,0.69,Commercial,3,Single Family
20765,2020,Hartford,16,216 FRANKLIN AVE,78400,256000,0.31,Residential,2,Three Family
200608,2020,Farmington,23,912 NEW BRITAIN AV,308790,492000,0.63,Residential,2,Single Family
2000142,2020,Bloomfield,6,5 TIFFANY LANE,129290,239000,0.54,Residential,2,Single Family
200352,2020,Killingly,13,78 R & R PARK,33530,52400,0.64,Commercial,3,Single Family
201120,2020,Griswold,4,1466 HOPEVILLE RD,223580,225000,0.99,Commercial,3,Single Family
200761,2020,Greenwich,2,2 WIDGEON WAY,1242500,1875000,0.66,Vacant Land,1,Single Family
200502,2020,Greenwich,2,23 NORTH PORCHUCK ROAD,1145970,1400000,0.82,Residential,2,Single Family
2000192,2020,Bloomfield,6,168 THISTLE POND DRIVE,198730,350000,0.57,Vacant Land,1,Condo
200806,2020,Glastonbury,34,130 GRISWOLD ST,143700,340000,0.42,Commercial,3,Single Family
200010,2020,Canaan,35,55 MUSIC MOUNTAIN RD,161100,183000,0.88,Residential,2,Single Family
20139,2020,Hartford,16,130 TREDEAU ST,51940,198000,0.26,Residential,2,Single Family
200103,2020,East Hartford,30,20 RISLEY ST,86140,176000,0.49,Residential,2,Single Family
200166,2020,East Haven,17,275 COE AVE,133020,305000,0.44,Residential,2,Single Family
200029,2020,Greenwich,2,14 STUART DRIVE,528360,820000,0.64,Commercial,3,Single Family
20601,2020,Darien,7,17 WALMSLEY RD,565530,1125000,0.5,Vacant Land,1,Single Family
200106,2020,Madison,36,4 MATTHEW COURT,668400,985000,0.68,Residential,2,Single Family
200081,2020,Killingworth,33,40 BRIDLEPATH TRAIL,72420,161000,0.45,Commercial,3,Single Family
20640,2020,Hartford,16,100 WELLS ST #1207 & 100 WELLS,24080,95000,0.25,Vacant Land,1,Condo
200396,2020,Glastonbury,34,633 MAIN ST,216200,380000,0.57,Residential,2,Single Family
2020248,2020,Berlin,24,822 NORTON ROAD,181100,340000,0.53,Vacant Land,1,Single Family
201411,2020,Danbury,31,27 CROWS NEST LA 17F,106900,255000,0.42,Commercial,3,Condo
201058,2020,Greenwich,2,17 EAST LYON FARM DRIVE,687890,940000,0.73,Vacant Land,1,Condo
201148,2020,Hartford,16,21 ELLIOTT ST,76918,280000,0.27,Vacant Land,1,Three Family
2000510,2020,Cheshire,15,59 MACKENZIE WILLOW TERR,0,573879,0,Vacant Land,1,Condo
200323,2020,Branford,11,24 MIDWOOD RD,242100,354000,0.68,Residential,2,Single Family
2020297,2020,Berlin,24,33 LANGDON COURT UNIT A-102,111800,169900,0.66,Commercial,3,Condo
200666,2020,Greenwich,2,27 BRIDGE STREET,729050,1900000,0.38,Residential,2,Single Family
200068,2020,Bethlehem,12,296 MUNGER LN,289400,625000,0.46,Commercial,3,Single Family
200092,2020,Beacon Falls,25,193 CONCORD COURT,74340,165000,0.45,Vacant Land,1,Condo
20359,2020,Hartford,16,118 HARBISON AVE,39620,77000,0.51,Vacant Land,1,Single Family
200963,2020,Bristol,9,138 FIELD ST,109200,230000,0.47,Commercial,3,Two Family
200383,2020,Manchester,5,77 OLIVER ROAD,111500,235000,0.47,Vacant Land,1,Single Family
20467,2020,Darien,7,708 HOLLOW TREE RIDGE ROAD,2530990,3500000,0.72,Commercial,3,Single Family
200072,2020,Colchester,37,379 NORWICH AVE,127400,212000,0.6,Residential,2,Single Family
200016,2020,Bethany,38,62 HUMISTON DR,281290,560000,0.5,Residential,2,Single Family
20281,2020,Hartford,16,38 AMHERST ST,46585,201000,0.23,Commercial,3,Single Family
200096,2020,Greenwich,2,84 BURNING TREE ROAD,1295700,1940000,0.67,Commercial,3,Single Family
200336,2020,Madison,36,77 OVERSHORES DR WEST,326700,675000,0.48,Residential,2,Single Family
20120,2020,Bethel,28,8 BARNUM COURT UNIT 8,194040,319500,0.61,Vacant Land,1,Condo
201068,2020,Hartford,16,136 MARTIN ST,49576,65000,0.76,Vacant Land,1,Two Family
200074,2020,Greenwich,2,27 VINEYARD LANE,1440110,300000,4.8,Commercial,3,Single Family
200129,2020,Canton,29,61 SECRET LAKE ROAD,167910,280000,0.6,Vacant Land,1,Single Family
200394,2020,Enfield,39,72 WYNWOOD DR,91680,160000,0.57,Residential,2,Condo
201316,2020,Manchester,5,528 WOODBRIDGE STREET,110100,230000,0.48,Commercial,3,Single Family
200315,2020,East Lyme,8,14 RIVER RD,334600,260000,1.29,Vacant Land,1,Single Family
200512,2020,Enfield,39,4 RANBERRY HOLLOW,72340,150500,0.48,Commercial,3,Condo
201444,2020,Greenwich,2,44 SUMMIT ROAD,1125460,1800000,0.63,Vacant Land,1,Single Family
2020052,2020,Berlin,24,198 HUDSON STREET,157500,250500,0.63,Commercial,3,Single Family
2000279,2020,Cheshire,15,375 REDWOOD LANE,203240,430000,0.47,Commercial,3,Single Family
200194,2020,Essex,40,1 EAGLE RIDGE DR,204600,469000,0.44,Residential,2,Single Family
200078,2020,Mansfield,41,14 PATRIOTS SQ,77100,130000,0.59,Residential,2,Condo
201785,2020,Greenwich,2,57 HILLSIDE DRIVE,1187690,1800000,0.66,Vacant Land,1,Single Family
2000027,2020,Cheshire,15,580 PECK LANE,265570,425000,0.62,Commercial,3,Single Family
20995,2020,Hartford,16,118 ENFIELD ST,66555,150000,0.44,Residential,2,Three Family
2020254,2020,Berlin,24,59 PEACH TREE LN,236300,405000,0.58,Commercial,3,Single Family
200000372,2020,Brookfield,18,64 OLD BRIDGE RD,410680,640000,0.64,Commercial,3,Single Family
2000502,2020,Cheshire,15,56 MACKENZIE WILLOW TERR,0,624382,0,Residential,2,Condo
200240,2020,Madison,36,389 COUNTY RD,218500,200000,1.09,Residential,2,Single Family
200032,2020,Madison,36,10 ARROWHEAD RD,209400,475000,0.44,Commercial,3,Single Family
200052,2020,Lyme,42,3 BEAVER BROOK RD,293900,527500,0.56,Residential,2,Single Family
200159,2020,Guilford,21,57 LONG HILL FARM,138760,240000,0.58,Vacant Land,1,Condo
200039,2020,Bozrah,43,62 HOUGH RD,111410,265000,0.42,Residential,2,Single Family
201230,2020,Danbury,31,52 BRIAR RIDGE RD,239100,487000,0.49,Residential,2,Single Family
20004,2020,Lebanon,27,88 LAKESIDE DR,175540,250000,0.7,Residential,2,Single Family
200895,2020,Greenwich,2,33 BROAD ROAD,3681650,4375000,0.84,Residential,2,Single Family
200222,2020,Canton,29,48 FOREST LANE,153700,287700,0.53,Residential,2,Single Family
200057,2020,Madison,36,WEST SUSSEX PL U-3-4,20000,15000,1.33,Residential,2,Condo
200262,2020,Canton,29,21 EAST STREET,151020,385000,0.39,Vacant Land,1,Single Family
200012,2020,Bethlehem,12,70 MAIN STREET NORTH,131600,261000,0.5,Commercial,3,Single Family
2000110,2020,Bloomfield,6,43 MILLS LANE,177940,290000,0.61,Residential,2,Single Family
201024,2020,Manchester,5,32 HIGHLAND STREET,94900,162000,0.59,Residential,2,Single Family
200255,2020,Farmington,23,12 COPPER BEECH LA,500390,625000,0.8,Commercial,3,Single Family
200170,2020,Cromwell,44,13 WILDWOOD ROAD,133210,257000,0.52,Vacant Land,1,Single Family
200417,2020,Glastonbury,34,279 ADDISON RD,166800,280000,0.6,Vacant Land,1,Single Family
201259,2020,Griswold,4,21 BOW LANE,134960,305000,0.44,Residential,2,Single Family
201278,2020,Bristol,9,268 DIVINITY ST UN 14 AKA 2-6,61460,125000,0.49,Vacant Land,1,Condo
2000203,2020,Cheshire,15,560 OAK AVE U15,97840,196000,0.5,Commercial,3,Condo
200588,2020,Branford,11,51 MANORWOOD DR,100300,185000,0.54,Vacant Land,1,Condo
201308,2020,Manchester,5,34 COOLIDGE STREET,88400,184900,0.48,Vacant Land,1,Single Family
200000279,2020,Brookfield,18,9 WOODCREEK RD,363720,600000,0.61,Residential,2,Single Family
200944,2020,Danbury,31,14 BOULDER RIDGE W,124900,255000,0.49,Residential,2,Single Family
200763,2020,Greenwich,2,31 SCOTT LANE,959910,1115000,0.86,Commercial,3,Single Family
2020177,2020,Ansonia,26,323 BEAVER ST,133000,248400,0.54,Vacant Land,1,Single Family
200011,2020,Bridgeport,45,116 BASSICK AVE,76090,148700,0.51,Vacant Land,1,Single Family
200462,2020,Madison,36,69 FORT PATH RD,216100,365000,0.59,Vacant Land,1,Single Family
20618,2020,Darien,7,147 HOLMES AVE,652820,1344800,0.49,Residential,2,Single Family
200197,2020,Avon,20,71 NORTH FARMS ROAD,355850,592000,0.6,Vacant Land,1,Single Family
200242,2020,Branford,11,175 CHERRY HILL RD,187100,300000,0.62,Commercial,3,Single Family
200668,2020,Greenwich,2,105 PARSONAGE ROAD,3788120,5200000,0.73,Residential,2,Single Family
200218,2020,Groton,1,113 LAURELWOOD RD,118860,245500,0.48,Commercial,3,Single Family
20445,2020,Bethel,28,75 ROCKWELL ROAD,252140,483000,0.52,Commercial,3,Single Family
200528,2020,Avon,20,2 CONIFER LANE,189560,275000,0.69,Vacant Land,1,Condo
200233,2020,Farmington,23,110 SONGBIRD LA,113040,172500,0.66,Vacant Land,1,Condo
200653,2020,Manchester,5,69 GREEN MANOR ROAD,115600,220000,0.53,Vacant Land,1,Single Family
20099,2020,Derby,46,54-56 LAKEVIEW TERR,146580,315000,0.47,Vacant Land,1,Two Family
201228,2020,Bristol,9,535 EAST RD,130270,272000,0.48,Commercial,3,Three Family
200141,2020,Branford,11,82 PINE ORCHARD RD,266700,545000,0.49,Residential,2,Single Family
200025,2020,Manchester,5,150 CROFT DRIVE,123200,224000,0.55,Commercial,3,Single Family
200111,2020,Hebron,47,82 PORTER RD,30390,100000,0.3,Vacant Land,1,Single Family
200077,2020,Coventry,48,341 DUNN RD,151900,249900,0.61,Residential,2,Single Family
201145,2020,Manchester,5,208 BRIARWOOD DRIVE,151700,311000,0.49,Commercial,3,Single Family
20833,2020,East Hartford,30,71 MAIN ST,112360,242000,0.46,Residential,2,Single Family
2000228,2020,Bloomfield,6,92 ADAMS ROAD,170520,300000,0.57,Residential,2,Single Family
200192,2020,East Haddam,49,96 LONGWOOD DR,83020,175000,0.47,Vacant Land,1,Single Family
200050,2020,Easton,50,31 KACHELE STREET,494130,685000,0.72,Commercial,3,Single Family
20200,2020,Bethel,28,40 HUNTING RIDGE LANE,210799,425432,0.5,Residential,2,Condo
200189,2020,Branford,11,195 PINE ORCHARD RD,237600,570000,0.42,Commercial,3,Single Family
200429,2020,Avon,20,12 BRENTHAVEN,214470,410000,0.52,Residential,2,Condo
200155,2020,Branford,11,17 MONTGOMERY PARKWAY,383300,629999,0.61,Residential,2,Single Family
200309,2020,Farmington,23,30 CHILTERN ST,309720,510000,0.61,Residential,2,Single Family
201016,2020,Greenwich,2,210 WEST LYON FARM DRIVE,918120,1400000,0.66,Vacant Land,1,Condo
200583,2020,Greenwich,2,2 CONYERS FARM DRIVE,3658200,4200000,0.87,Commercial,3,Single Family
20053,2020,East Hartford,30,33 ARAWAK DR,19420,32000,0.61,Vacant Land,1,Condo
200526,2020,Guilford,21,71 HIGHWOODS DR,265160,466000,0.57,Vacant Land,1,Single Family
200098,2020,Colchester,37,14 WOODACRES RD,191900,335000,0.57,Residential,2,Single Family
200152,2020,Beacon Falls,25,29 BAYBERRY COURT,0,601291,0,Residential,2,Condo
200002,2020,Guilford,21,59 LONG HILL FARMS,133860,239000,0.56,Residential,2,Condo
200001,2020,Killingworth,33,35 WHITEWOOD ROAD,114460,225000,0.51,Commercial,3,Single Family
201114,2020,Bristol,9,1 FARRELL AVE,106610,175000,0.61,Vacant Land,1,Single Family
200121,2020,Avon,20,63 NORTHGATE,528490,775000,0.68,Vacant Land,1,Single Family
200674,2020,Groton,1,360 BENHAM RD,123690,260000,0.48,Vacant Land,1,Single Family
200345,2020,Farmington,23,84 TUNXIS VILLAGE,132890,213000,0.62,Commercial,3,Condo
20513,2020,East Hartford,30,90 PARK AVE,73340,180000,0.41,Residential,2,Single Family
200138,2020,Groton,1,28 PEPPERIDGE LN,137970,199000,0.69,Vacant Land,1,Single Family
200254,2020,Greenwich,2,414 RIVERSVILLE ROAD,793940,1230000,0.65,Commercial,3,Single Family
200437,2020,Danbury,31,10 DEVONSHIRE DR,230500,385000,0.6,Commercial,3,Single Family
200797,2020,Danbury,31,55 STARRS PLAIN RD,228500,350000,0.65,Residential,2,Single Family
201332,2020,Bristol,9,14 INWOOD LN,158760,345000,0.46,Residential,2,Single Family
