Serial Number,List Year,Place,PlaceID,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,PropertyTypeID,Residential Type
210145,2021,Avon,20,390 COUNTRY CLUB ROAD,383500,690000,0.56,Commercial,3,Single Family
2100668,2021,Naugatuck,58,246 MAY ST,118550,255000,0.46,Residential,2,Single Family
210275,2021,Bristol,9,343 PARK ST,101980,157500,0.65,Commercial,3,Two Family
210004,2021,New Fairfield,69,104 LAKE DR S,645700,1600000,0.4,Commercial,3,Single Family
210395,2021,Avon,20,236 WATERVILLE ROAD,169510,300000,0.56,Vacant Land,1,Single Family
21000048,2021,Cheshire,15,401 S MERIDEN RD,284350,432000,0.66,Residential,2,Single Family
211726,2021,Bridgeport,45,56 PARK TER #58,168480,376000,0.45,Residential,2,Three Family
210176,2021,Killingly,13,60 SCHOOL ST,101990,196020,0.52,Vacant Land,1,Two Family
211225,2021,Bristol,9,391 FALL MOUNTAIN RD,93030,200000,0.47,Commercial,3,Single Family
210562,2021,New Britain,56,15-19 PROSPECT ST,26110,50000,0.52,Vacant Land,1,Condo
21201,2021,Bethel,28,5 LAURA LANE,108010,285000,0.38,Commercial,3,Condo
210041,2021,Bristol,9,290 RAMBLER ST,121100,250000,0.48,Commercial,3,Single Family
211344,2021,Danbury,31,12-16 SCUPPO RD C-7,69400,175000,0.4,Residential,2,Condo
210691,2021,Hamden,57,56 REYNA RD,121660,174000,0.7,Vacant Land,1,Single Family
210561,2021,Bristol,9,76 OSULLIVAN DRIVE,131320,245000,0.54,Commercial,3,Single Family
211363,2021,Bridgeport,45,21 WOOD AVE,124670,150000,0.83,Commercial,3,Single Family
2121020,2021,Ansonia,26,2 BEHRLE DR,132100,288500,0.46,Residential,2,Single Family
210124,2021,Mansfield,41,33 PINEWOODS LN,131000,235000,0.56,Commercial,3,Single Family
211519,2021,Danbury,31,18 PAUL ST,127600,355000,0.36,Vacant Land,1,Single Family
210588,2021,Bridgeport,45,401 BREWSTER AVE,167435,285000,0.59,Residential,2,Single Family
210136,2021,Derby,46,116-120 HAWTHORNE AVE,133140,421000,0.32,Commercial,3,Three Family
210178,2021,Clinton,64,9 GRAYLEDGE DR,189100,160000,1.18,Commercial,3,Single Family
211060,2021,Bridgeport,45,116 MERRIAM ST,97480,291667,0.33,Commercial,3,Three Family
210601,2021,Fairfield,52,924 CEDAR ROAD,724710,1750000,0.41,Vacant Land,1,Single Family
210221,2021,Hamden,57,85 ARCH ST,124880,250000,0.5,Residential,2,Two Family
211021,2021,Danbury,31,73 WARRINGTON RN,304800,680000,0.45,Residential,2,Condo
211318,2021,Bristol,9,"10 EBERT DR., #52",78890,197000,0.4,Residential,2,Condo
2102049,2021,Stamford,73,91 STRAWBERRY HILL AVE #224,130350,145000,0.9,Vacant Land,1,Condo
2101412,2021,Stamford,73,11 BERTMOR DRIVE,389170,775000,0.5,Commercial,3,Single Family
21116,2021,Darien,7,9 CLUBHOUSE CIRCLE,869820,1507500,0.58,Commercial,3,Single Family
2100650,2021,Naugatuck,58,156 WILDWOOD CIR,145620,370000,0.39,Residential,2,Single Family
210828,2021,Bridgeport,45,252 DOVER ST,80577,165000,0.49,Residential,2,Single Family
210234,2021,Glastonbury,34,32-A1 WILLIEB ST,64500,133000,0.48,Vacant Land,1,Condo
2100025,2021,Hampton,74,653 PUDDING HILL RD,123410,356500,0.35,Residential,2,Single Family
21371,2021,Bethel,28,3 EAGLE ROCK HILL,118440,325000,0.36,Residential,2,Condo
2100266,2021,New Fairfield,69,3 DARIEN RD,185200,220000,0.84,Commercial,3,Single Family
21164,2021,Darien,7,58 ALLWOOD RD,1819300,3677500,0.49,Vacant Land,1,Single Family
210333,2021,Berlin,24,151 SPRUCE BROOK RD,185300,167500,1.11,Vacant Land,1,Single Family
210905,2021,Danbury,31,12 MOORLAND DR,272000,640000,0.42,Vacant Land,1,Condo
212089,2021,Bridgeport,45,371 WOOD AVE #373,187014,375000,0.5,Vacant Land,1,Three Family
210125,2021,Litchfield,59,88 WIGWAM RD,326280,1383200,0.24,Vacant Land,1,Single Family
210142,2021,Ellington,63,6 PINE DR,212350,250000,0.85,Vacant Land,1,Single Family
210052,2021,Morris,75,63 KENYON RD,296220,675000,0.44,Residential,2,Single Family
210013,2021,Danbury,31,12 BOULEVARD 24-142,193300,410100,0.47,Vacant Land,1,Condo
211036,2021,Hamden,57,6 SUNNYSIDE AVE,142030,299900,0.47,Vacant Land,1,Single Family
21241,2021,Monroe,67,3 SHERWOOD PL,177900,412609,0.43,Commercial,3,Single Family
21066,2021,Haddam,55,14 BARTMAN RD,213350,382000,0.56,Residential,2,Single Family
210772,2021,Fairfield,52,255 ALDEN STREET,359380,600000,0.6,Commercial,3,Single Family
210099,2021,Brooklyn,71,116 WINDHAM RD,226400,450000,0.5,Residential,2,Single Family
210287,2021,Bridgeport,45,2600 PARK AVE UNIT 6C,59670,65000,0.92,Commercial,3,Condo
21011,2021,Guilford,21,255 DURHAM RD,218740,340000,0.64,Vacant Land,1,Single Family
210196,2021,Ledyard,68,10 JESSICA LN,177800,281703,0.63,Residential,2,Single Family
211638,2021,Bridgeport,45,325 LAFAYETTE ST UNIT #1204,51510,150000,0.34,Residential,2,Condo
21203,2021,Darien,7,599 MIDDLESEX ROAD,2309860,2062500,1.12,Residential,2,Single Family
211865,2021,Bridgeport,45,106 VIRGINIA AVE,46080,132000,0.35,Commercial,3,Condo
21272,2021,Guilford,21,137 OLD QUARRY RD,1260000,1600000,0.79,Residential,2,Single Family
210971,2021,Fairfield,52,61 TWIN LANES ROAD,635600,1550000,0.41,Commercial,3,Single Family
211377,2021,Bristol,9,30 ROSEMARY LN,161980,320000,0.51,Vacant Land,1,Single Family
210336,2021,Branford,11,14 LANPHIERS COVE CAMP,68400,208100,0.33,Residential,2,Single Family
210106,2021,Litchfield,59,20 FLOREN POND RD,227170,600000,0.38,Commercial,3,Single Family
210327,2021,Glastonbury,34,117 THREE MILE RD,195100,412000,0.47,Commercial,3,Single Family
210170,2021,Branford,11,2M THIMBLE ISLE,44600,115000,0.39,Commercial,3,Condo
21113,2021,Bethel,28,505 COPPER SQUARE DRIVE,213570,379900,0.56,Commercial,3,Condo
21394,2021,Darien,7,55 HOLLY LANE,938070,1810000,0.52,Vacant Land,1,Single Family
210816,2021,New Britain,56,38 WILSON ST,104090,284900,0.37,Vacant Land,1,Three Family
21000270,2021,Cheshire,15,150 BRADFORD RD,152730,317500,0.48,Residential,2,Single Family
210571,2021,Branford,11,183 MAPLE ST,169300,370000,0.46,Residential,2,Single Family
210283,2021,Ellington,63,7 HEATHER RD,130170,136000,0.96,Vacant Land,1,Single Family
210342,2021,Cromwell,44,9 NORDLAND AVENUE,148330,265000,0.56,Commercial,3,Single Family
210081,2021,Coventry,48,24 WALNUT TR,99600,195000,0.51,Residential,2,Single Family
2100021,2021,Marlborough,62,102 PETTENGILL RD,159850,315000,0.51,Residential,2,Single Family
211433,2021,Danbury,31,21 EAST CROSS TR,18200,630768,0.03,Commercial,3,Condo
210248,2021,Derby,46,10 BELLEVIEW DR,173460,370000,0.47,Commercial,3,Single Family
2100027,2021,Canaan,35,102 JOHNSON RD,345400,755000,0.46,Commercial,3,Single Family
218178,2021,Middletown,60,85 LORELEI CIRCLE,170410,340000,0.5,Residential,2,Single Family
210132,2021,Berlin,24,59 WALDEN CT,274800,550000,0.5,Vacant Land,1,Single Family
210780,2021,Bridgeport,45,2995 MADISON AVE UNIT #23,78810,152000,0.52,Residential,2,Single Family
210286,2021,Clinton,64,2 BLAKE AVE,366637,835000,0.44,Commercial,3,Single Family
21000319,2021,Cheshire,15,498 OAK AVE U28,55930,100000,0.56,Commercial,3,Condo
211056,2021,Hamden,57,151 THORNTON ST,173390,341000,0.51,Vacant Land,1,Single Family
210316,2021,Avon,20,187 WEST AVON ROAD,278710,500000,0.56,Residential,2,Single Family
210681,2021,Glastonbury,34,117 CAMBRIDGE DR,179300,320000,0.56,Vacant Land,1,Single Family
210390,2021,Ledyard,68,38 SEABURY AVE,236250,396000,0.6,Vacant Land,1,Single Family
211171,2021,New Britain,56,70 RONALD RD,72100,139900,0.52,Residential,2,Single Family
210173,2021,Litchfield,59,40 MURPHY RD,134230,330000,0.41,Commercial,3,Single Family
210174,2021,New Canaan,66,34 HERITAGE HILL RD-UNIT C,569520,940000,0.61,Residential,2,Condo
210018,2021,Bethany,38,530 BETHMOUR RD,228780,375000,0.61,Commercial,3,Single Family
2100123,2021,Madison,36,139 WILDWOOD AVE,195400,363000,0.54,Commercial,3,Single Family
210542,2021,Fairfield,52,149 JUDSON ROAD,536270,960000,0.56,Commercial,3,Single Family
210975,2021,Bristol,9,410 EMMET ST GARAGE G-Q,0,26000,0,Residential,2,Condo
210177,2021,Bloomfield,6,30 BILTMORE PARK,159460,380000,0.42,Residential,2,Condo
211128,2021,Hamden,57,31 FAWN RIDGE DR,141400,312000,0.45,Residential,2,Single Family
218268,2021,Middletown,60,452 WASHINGTON ST,65760,170000,0.39,Residential,2,Single Family
211561,2021,Bridgeport,45,315 WILLIAM ST,179039,425000,0.42,Vacant Land,1,Single Family
210398,2021,Fairfield,52,108 COLONESE ROAD,303870,475000,0.64,Commercial,3,Single Family
210594,2021,New Britain,56,41 RIDGEWOOD ST,122290,415000,0.29,Residential,2,Three Family
210193,2021,Cromwell,44,45 COLES ROAD,150850,351000,0.43,Commercial,3,Single Family
21000009,2021,Colebrook,76,17 PROCK HILL ROAD,241600,340000,0.71,Residential,2,Single Family
210011,2021,Bolton,77,68 HIGH RIDGE FARM LANE,475100,620000,0.77,Residential,2,Single Family
218340,2021,Middletown,60,609 RIDGEWOOD RD,200770,445000,0.45,Commercial,3,Single Family
2121211,2021,Ansonia,26,2 MARY ST,113400,72000,1.58,Vacant Land,1,Two Family
210389,2021,Hamden,57,2692 DIXWELL AVE,126350,260000,0.49,Vacant Land,1,Single Family
21069,2021,Guilford,21,85 MICHAEL DR,183550,188000,0.98,Residential,2,Single Family
210047,2021,Preston,78,153A ROUTE 12,151200,290000,0.52,Residential,2,Single Family
210392,2021,New Canaan,66,228 NORTH WILTON RD,711060,1650000,0.43,Residential,2,Single Family
2102154,2021,Stamford,73,49 HINCKLEY AVENUE,391700,740000,0.53,Commercial,3,Two Family
211302,2021,Hamden,57,148 PUTNAM AVE,124390,250000,0.5,Vacant Land,1,Single Family
218337,2021,Middletown,60,190 CARRIAGE CROSSING,72190,165000,0.44,Commercial,3,Condo
210505,2021,Fairfield,52,89 FIELD POINT DRIVE,520170,965000,0.54,Commercial,3,Condo
210002,2021,New Britain,56,2 LINCOLN CT,97370,245000,0.4,Vacant Land,1,Two Family
211588,2021,Bridgeport,45,386 HUNTINGTON RD #388,143611,315000,0.46,Vacant Land,1,Three Family
211526,2021,Bridgeport,45,80 CARTRIGHT ST #3L,34700,99000,0.35,Vacant Land,1,Condo
210187,2021,Bristol,9,25 ROGERS RD,177800,292000,0.61,Vacant Land,1,Single Family
211796,2021,Bridgeport,45,25 CARTRIGHT ST UNIT #4B,58740,140000,0.42,Residential,2,Condo
210955,2021,Danbury,31,8 SIXTH ST,169400,345000,0.49,Residential,2,Single Family
211718,2021,Bridgeport,45,185 WOODROW AVE,230380,385000,0.6,Vacant Land,1,Single Family
211195,2021,New Britain,56,26 SHUTTLE MEADOW AVE,77070,125000,0.62,Vacant Land,1,Single Family
210012,2021,Clinton,64,56 LIBERTY ST,154100,300000,0.51,Vacant Land,1,Single Family
211125,2021,Bridgeport,45,887 PLATTST,137530,125000,1.1,Vacant Land,1,Single Family
210296,2021,Berlin,24,355 RESERVOIR RD,172300,240000,0.72,Residential,2,Single Family
21064,2021,Monroe,67,16 HERITAGE RD,180100,400000,0.45,Commercial,3,Single Family
21068,2021,Barkhamsted,79,452 & 453 EAST RIVER RD,143150,250000,0.57,Commercial,3,Single Family
210616,2021,Bridgeport,45,3250 FAIRFIELD AVE UNIT #309,113340,280000,0.4,Residential,2,Condo
210086,2021,New Britain,56,36 SUNRISE AVE,105910,250000,0.42,Commercial,3,Two Family
210682,2021,Middletown,60,1705 COUNTRY CLUB RD,257530,450000,0.57,Vacant Land,1,Single Family
2121216,2021,Ansonia,26,37 BERKSHIRE RD,181600,410000,0.44,Commercial,3,Single Family
210022,2021,New Britain,56,324 BARBOUR RD,143430,327000,0.44,Residential,2,Single Family
210499,2021,Bristol,9,7-9 WILLOUGHBY STREET,87780,243000,0.36,Residential,2,Two Family
2100009,2021,Naugatuck,58,15 BALDWIN STREET,113290,200000,0.57,Residential,2,Two Family
210244,2021,New Canaan,66,97 FOREST ST-UNIT B,665000,1395000,0.48,Residential,2,Condo
210671,2021,Fairfield,52,276 LOCKWOOD ROAD,348250,820000,0.42,Residential,2,Single Family
211358,2021,Danbury,31,11 MANNION LA 28,133400,360000,0.37,Residential,2,Condo
2121234,2021,Ansonia,26,14 N COE LA,108800,170000,0.64,Commercial,3,Single Family
211578,2021,Bridgeport,45,230 LEWIS ST,101210,265000,0.38,Residential,2,Single Family
210009,2021,Berlin,24,319 NEW BRITAIN ROAD #109,63100,134000,0.47,Commercial,3,Condo
21000054,2021,Cheshire,15,50 LANSDOWNE LANE,261190,530000,0.49,Vacant Land,1,Single Family
210104,2021,East Hampton,80,34 LONG HILL RD,152470,330000,0.46,Vacant Land,1,Single Family
211079,2021,Bristol,9,137 JUDD ST,146160,238000,0.61,Residential,2,Single Family
21174,2021,Burlington,19,61 SPIELMAN HWY,136990,299900,0.46,Vacant Land,1,Single Family
210467,2021,Glastonbury,34,180 SHODDY MILL RD,243200,420000,0.58,Vacant Land,1,Single Family
210109,2021,Essex,40,34 FORDHAM RD,303800,791000,0.38,Residential,2,Single Family
211006,2021,Danbury,31,1 BEAVER BROOK RD 1-52,74200,270000,0.27,Residential,2,Condo
210164,2021,Litchfield,59,54 LOOKING GLASS HILL RD,293270,825000,0.36,Commercial,3,Single Family
21274,2021,Farmington,23,1431 FARMINGTON AV,102040,120000,0.85,Residential,2,Condo
210618,2021,Norwich,72,114 SHERATON LN,37400,100000,0.37,Commercial,3,Condo
21347,2021,Darien,7,6 BISHOPS GATE,1498350,2725000,0.55,Residential,2,Single Family
210680,2021,New Britain,56,48 WOODLAND ST,102550,315000,0.33,Vacant Land,1,Three Family
2100249,2021,Naugatuck,58,1081 NEW HAVEN RD 5H,54710,105000,0.52,Commercial,3,Condo
210524,2021,Danbury,31,191 WESTVILLE AV,186000,425000,0.44,Residential,2,Single Family
21000155,2021,Granby,81,13 CRANBERRY LN,176260,399900,0.44,Vacant Land,1,Single Family
211598,2021,Bridgeport,45,439 NEWFIELD AVE #445,187820,445000,0.42,Vacant Land,1,Four Family
210635,2021,Danbury,31,262 GREAT PLAIN RD,144200,365000,0.4,Commercial,3,Two Family
210473,2021,New London,82,85 WEST ST,75110,205000,0.37,Residential,2,Single Family
210190,2021,Cromwell,44,1221 CROMWELL HILLS DRIVE,60270,135000,0.45,Commercial,3,Condo
21373,2021,Farmington,23,113 TUNXIS VILLAGE,191430,355000,0.54,Residential,2,Condo
210330,2021,Fairfield,52,1353 MILL PLAIN ROAD,272580,450000,0.61,Vacant Land,1,Single Family
210370,2021,Ledyard,68,12 KINGS HWY,177730,280000,0.63,Vacant Land,1,Single Family
210312,2021,Glastonbury,34,1662 NEW LONDON TPKE,173200,370000,0.47,Residential,2,Single Family
210272,2021,Branford,11,135 FLORENCE RD 2C,89000,154000,0.58,Commercial,3,Condo
210534,2021,Branford,11,F72 RIVERVIEW CROSSING,75000,148000,0.51,Residential,2,Condo
210432,2021,Fairfield,52,225 PAPERMILL LANE,333760,530000,0.63,Vacant Land,1,Single Family
21546,2021,Farmington,23,58 MALLARD DR 85D,100070,208500,0.48,Residential,2,Condo
210334,2021,Bristol,9,164 SOUTHDOWN DR,252210,550000,0.46,Residential,2,Single Family
210884,2021,Hamden,57,84 BROADWAY,93380,120000,0.78,Commercial,3,Single Family
210434,2021,Killingly,13,1108 NORTH RD,221970,565000,0.39,Residential,2,Single Family
210442,2021,Bridgeport,45,78 TARINELLI CIRCLE,154630,215000,0.72,Vacant Land,1,Single Family
210341,2021,Bloomfield,6,4 TRINITY CIR,138740,294000,0.47,Vacant Land,1,Single Family
210066,2021,Brooklyn,71,349 DAY ST,207300,389900,0.53,Residential,2,Single Family
21232,2021,Derby,46,17 KINDLE LN,133000,370000,0.36,Commercial,3,Single Family
211072,2021,New Britain,56,22 EASTWICK RD,84070,208000,0.4,Vacant Land,1,Single Family
21178,2021,East Haddam,49,60 ALGER RD,123690,193000,0.64,Residential,2,Single Family
21159,2021,Bethel,28,14 GREAT HILL ROAD,279790,642000,0.44,Vacant Land,1,Condo
21034,2021,Farmington,23,105 KNOLLWOOD RD,224440,426300,0.53,Residential,2,Single Family
2100112,2021,Marlborough,62,17 DEER RUN,202500,220000,0.92,Commercial,3,Single Family
21000530,2021,Cheshire,15,486 OAK AVE U51,55930,127000,0.44,Commercial,3,Condo
21047,2021,East Haddam,49,6 PETTICOAT LANE,212390,440000,0.48,Residential,2,Single Family
211570,2021,Bridgeport,45,674 BURNSFORD AVE,143970,290000,0.5,Vacant Land,1,Single Family
2100048,2021,Naugatuck,58,1083 ANDREW MOUNTAIN ROAD,200460,390000,0.51,Vacant Land,1,Single Family
210003,2021,Coventry,48,119 WEST SHORE DR,330900,375000,0.88,Commercial,3,Single Family
210065,2021,Bridgeport,45,31 REMINGTON ST UNIT #B4,26600,52000,0.51,Commercial,3,Condo
210382,2021,Branford,11,123 CEDAR ST,124900,260000,0.48,Vacant Land,1,Single Family
210581,2021,Fairfield,52,118 BERWICK AVENUE,309120,525000,0.59,Vacant Land,1,Condo
210083,2021,New Fairfield,69,18 HERITAGE ISLAND RD,1847300,2000000,0.92,Vacant Land,1,Single Family
210335,2021,Bloomfield,6,6 MALONE DR,98770,195000,0.51,Commercial,3,Single Family
210113,2021,East Windsor,3,1 ASPEN DR,141310,581317,0.24,Vacant Land,1,Single Family
210225,2021,Bridgeport,45,597 HUNTINGTON TPKE,183181,350000,0.52,Commercial,3,Single Family
21206,2021,Burlington,19,32 NELSON DR,230860,525000,0.44,Residential,2,Single Family
210094,2021,Berlin,24,41 WALDEN CT,278200,484900,0.57,Commercial,3,Single Family
21237,2021,Guilford,21,194 RIVER ST,303120,495000,0.61,Residential,2,Single Family
211045,2021,Danbury,31,160 SHELTER ROCK RD 8,113000,278000,0.41,Commercial,3,Condo
210535,2021,New Britain,56,160-F BRITTANY FARMS,96040,209000,0.46,Commercial,3,Condo
2100209,2021,Naugatuck,58,39 HARLOW ST,128590,260000,0.49,Vacant Land,1,Single Family
21063,2021,Bethel,28,16 LOCKWOOD CIRCLE,342370,573500,0.6,Vacant Land,1,Condo
21051,2021,Chester,83,55 MAPLE ST,204400,420000,0.49,Residential,2,Single Family
210042,2021,Goshen,84,24 STONEBRIDGE LANE,256200,580000,0.44,Vacant Land,1,Single Family
210380,2021,New Britain,56,86 MAPLEHURST AVE,128170,150000,0.85,Commercial,3,Single Family
210074,2021,Branford,11,7 TOOLE DR,172200,307500,0.56,Residential,2,Single Family
210270,2021,New Britain,56,137 STRATFORD RD,115220,285000,0.4,Commercial,3,Single Family
2100154,2021,Stamford,73,99 OLD BARN ROAD WEST,292910,530000,0.55,Commercial,3,Single Family
